time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,orient_x,orient_y,orient_z,accel_x,accel_y,accel_z,angvel_x,angvel_y,angvel_z,yaw,roll,pitch
29.0,-5.15217656263417,5.094866560098796,0.0,1.6279484808512827,9.866599401196645,0.0,0.0,0.0,80.63084340544152,1.777365940662987,-0.29325809890165344,0.0,0.0,0.0,-10.32124270069562,80.63084340544152,0.0,0.0
29.04,-5.085669402844966,5.489297988242336,0.0,1.6965932707509876,9.855027715518737,0.0,0.0,0.0,80.23198778968208,1.6549303512729154,-0.2849046982495884,0.0,0.0,0.0,-9.621538087277695,80.23198778968208,0.0,0.0
29.080000000000002,-5.016514308807475,5.88327389394965,0.0,1.7603474762486355,9.843839533579622,0.0,0.0,0.0,79.86112035845935,1.5328371096154085,-0.27411315759537946,0.0,0.0,0.0,-8.921833473859772,79.86112035845935,0.0,0.0
29.12,-4.944906629788007,6.276811519533626,0.0,1.8192247989480879,9.833128755939907,0.0,0.0,0.0,79.51824111177328,1.4110856405085288,-0.26106461680387966,0.0,0.0,0.0,-8.222128860441751,79.51824111177328,0.0,0.0
29.16,-4.871041168954998,6.669931718598928,0.0,1.8732388052316824,9.82298205121918,0.0,0.0,0.0,79.20335004962399,1.289669832370448,-0.245939528682445,0.0,0.0,0.0,-7.52242424702383,79.20335004962399,0.0,0.0
29.2,-4.795112193098156,7.062658667320118,0.0,1.9224027137089141,9.813478883980165,0.0,0.0,0.0,78.91644717201142,1.168578482127479,-0.22891764192726108,0.0,0.0,0.0,-6.822719633605906,78.91644717201142,0.0,0.0
29.240000000000002,-4.717313450494363,7.455019576843448,0.0,1.9667292004216208,9.804691542940498,0.0,0.0,0.0,78.65753247893555,1.0477957381141338,-0.2101780015415319,0.0,0.0,0.0,-6.123015020187983,78.65753247893555,0.0,0.0
29.28,-4.637838196211546,7.847044406812774,0.0,2.0062302217234014,9.79668516884378,0.0,0.0,0.0,78.42660597039637,0.927301540873672,-0.18989896519977728,0.0,0.0,0.0,-5.423310406769962,78.42660597039637,0.0,0.0
29.32,-4.5568792241453675,8.23876557999294,0.0,2.040916854748595,9.789517781382447,0.0,0.0,0.0,78.22366764639393,0.8070720618383863,-0.16825823404041618,0.0,0.0,0.0,-4.723605793352039,78.22366764639393,0.0,0.0
29.36,-4.474628905086646,8.630217697942445,0.0,2.0707991553867062,9.783240304625544,0.0,0.0,0.0,78.04871750692823,0.6870801399320019,-0.1454328963770279,0.0,0.0,0.0,-4.023901179934116,78.04871750692823,0.0,0.0
29.400000000000002,-4.391279230121178,9.021437257664576,0.0,2.0958860336809066,9.777896590464705,0.0,0.0,0.0,77.90175555199923,0.5672957161940981,-0.12159948282718643,0.0,0.0,0.0,-3.324196566516193,77.90175555199923,0.0,0.0
29.44,-4.307021858666348,9.412462369149829,0.0,2.1161851465743924,9.773523439651532,0.0,0.0,0.0,77.78278178160694,0.4476862665761452,-0.09693403136582242,0.0,0.0,0.0,-2.624491953098172,77.78278178160694,0.0,0.0
29.48,-4.22204817045216,9.803332473705122,0.0,2.1317028079351643,9.770150620059106,0.0,0.0,0.0,77.69179619575138,0.32821723310292095,-0.07161216081784155,0.0,0.0,0.0,-1.9247873396802493,77.69179619575138,0.0,0.0
29.52,-4.1365493207566395,10.19408806295328,0.0,2.1424439157983826,9.767800881859667,0.0,0.0,0.0,77.62879879443253,0.20885245362974625,-0.045809151311592244,0.0,0.0,0.0,-1.2250827262623258,77.62879879443253,0.0,0.0
29.560000000000002,-4.050716298208152,10.58477039837313,0.0,2.1484118967752117,9.766489969369484,0.0,0.0,0.0,77.59378957765038,0.08955459045721759,-0.01970003022094327,0.0,0.0,0.0,-0.5253781128444025,77.59378957765038,0.0,0.0
29.6,-3.9647399844686766,10.975421231243812,0.0,2.149608667588151,9.766226629370726,0.0,0.0,0.0,77.58676854540498,-0.02971444191135141,0.006540337871444755,0.0,0.0,0.0,0.17432650057361834,77.58676854540498,0.0,0.0
29.64,-3.8788112151136858,11.366082522848881,0.0,2.146034613704545,9.767012615778787,0.0,0.0,0.0,77.60773569769628,-0.14899304956640655,0.032737158653235766,0.0,0.0,0.0,0.8740311139915418,77.60773569769628,0.0,0.0
29.68,-3.7931208410248907,11.756796164793245,0.0,2.1376885850523624,9.768842690581973,0.0,0.0,0.0,77.6566910345243,-0.26831953222839733,0.05871561446518323,0.0,0.0,0.0,1.5737357274094632,77.6566910345243,0.0,0.0
29.72,-3.7078597896129084,12.147603699282246,0.0,2.124567908815081,9.771704621038905,0.0,0.0,0.0,77.73363455588903,-0.3877316562042202,0.08430077104762376,0.0,0.0,0.0,2.2734403408273867,77.73363455588903,0.0,0.0
29.76,-3.6232191251863357,12.538546039214754,0.0,2.1066684193151914,9.775579173177414,0.0,0.0,0.0,77.83856626179049,-0.5072662269464843,0.10931748611125863,0.0,0.0,0.0,2.9731449542454094,77.83856626179049,0.0,0.0
29.8,-3.539390107783438,12.929663187943522,0.0,2.0839845050084693,9.78044010169709,0.0,0.0,0.0,77.97148615222866,-0.626958660905786,0.13359032119442174,0.0,0.0,0.0,3.672849567663331,77.97148615222866,0.0,0.0
29.84,-3.4565642497811813,13.320993958562852,0.0,2.0565091726232314,9.786254136436296,0.0,0.0,0.0,78.13239422720353,-0.7468425563810998,0.1569434582722184,0.0,0.0,0.0,4.372554181081254,78.13239422720353,0.0,0.0
29.88,-3.3749333695951673,13.712575692589233,0.0,2.024234128490234,9.79298096562305,0.0,0.0,0.0,78.32129048671514,-0.8669492630936779,0.17920062258714198,0.0,0.0,0.0,5.072258794499177,78.32129048671514,0.0,0.0
29.92,-3.2946896417815763,14.10444397791256,0.0,1.9871498771193208,9.800573216188157,0.0,0.0,0.0,78.53817493076347,-0.9873074502378509,0.20018501317642412,0.0,0.0,0.0,5.771963407917198,78.53817493076347,0.0,0.0
29.96,-3.216025642850096,14.496632365906343,0.0,1.9452458370881096,9.808976431478026,0.0,0.0,0.0,78.78304755934852,-1.1079426727955028,0.21971924257778797,0.0,0.0,0.0,6.471668021335121,78.78304755934852,0.0,0.0
30.0,-3.1391343920937476,14.889172087601448,0.0,1.8985104743157541,9.818129046764122,0.0,0.0,0.0,79.05590837247026,-1.2288769359418814,0.23762528720272202,0.0,0.0,0.0,7.171372634753045,79.05590837247026,0.0,0.0
30.04,-3.0642093867388627,15.282091768843145,0.0,1.8469314528008645,9.827962363005614,0.0,0.0,0.0,79.35675737012873,-1.350128257416783,0.25372444987423426,0.0,0.0,0.0,7.871077248170966,79.35675737012873,0.0,0.0
30.080000000000002,-2.991444630714812,15.675417144372549,0.0,1.7904958029065394,9.838400519381901,0.0,0.0,0.0,79.68559455232395,-1.471710227789338,0.2678373360344743,0.0,0.0,0.0,8.570781861588987,79.68559455232395,0.0,0.0
30.12,-2.921034656340045,16.069170770793946,0.0,1.7291901072772782,9.849360465172062,0.0,0.0,0.0,80.04241991905586,-1.593631568604403,0.27978384513591503,0.0,0.0,0.0,9.270486475006914,80.04241991905586,0.0,0.0
30.16,-2.8531745382173086,16.46337173841532,0.0,1.6630007044715358,9.860751931618966,0.0,0.0,0.0,80.42723347032447,-1.71589568846598,0.28938317873798236,0.0,0.0,0.0,9.970191088424835,80.42723347032447,0.0,0.0
30.2,-2.788059898628006,16.858035381974126,0.0,1.5919139103902507,9.872477404476852,0.0,0.0,0.0,80.8400352061298,-1.8385002371861514,0.2964538668384523,0.0,0.0,0.0,10.669895701842757,80.8400352061298,0.0,0.0
30.240000000000002,-2.7258869037122015,17.253172990291542,0.0,1.5159162575747174,9.884432098002428,0.0,0.0,0.0,81.28082512647191,-1.9614366582090401,0.3008138139755146,0.0,0.0,0.0,11.36960031526078,81.28082512647191,0.0,0.0
30.28,-2.6668522497182914,17.648791514928476,0.0,1.4349947524372708,9.896503931211138,0.0,0.0,0.0,81.74960323135068,-2.0846897396060755,0.302280366641398,0.0,0.0,0.0,12.0693049286787,81.74960323135068,0.0,0.0
30.32,-2.6111531386038624,18.044893277952305,0.0,1.349137150474279,9.908573507281972,0.0,0.0,0.0,82.24636952076614,-2.208237164033355,0.3006704035516203,0.0,0.0,0.0,12.769009542096622,82.24636952076614,0.0,0.0
30.36,-2.5589872422678877,18.441475678957904,0.0,1.2583322494936913,9.920514097055865,0.0,0.0,0.0,82.77112399471834,-2.3320490581420463,0.2958004503146063,0.0,0.0,0.0,13.468714155514549,82.77112399471834,0.0,0.0
30.400000000000002,-2.510552654693282,18.838530901527445,0.0,1.1625702008672627,9.93219162763463,0.0,0.0,0.0,83.32386665320732,-2.456087542041069,0.28748682004419607,0.0,0.0,0.0,14.16841876893257,83.32386665320732,0.0,0.0
30.44,-2.4660478312791256,19.23604561935356,0.0,1.0618428387915855,9.943464677148858,0.0,0.0,0.0,83.90459749623295,-2.5803062795251206,0.2755457814517353,0.0,0.0,0.0,14.868123382350491,83.90459749623295,0.0,0.0
